DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
2016,12,6,2016,10,03-07-2016,28.17,28.60,82.57,86.00,2.13,6.40,53,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,13,1,2016,11,03-14-2016,28.37,28.60,76.57,81.00,0.49,1.40,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,14,1,2016,12,03-21-2016,28.46,29.00,75.43,80.00,0.41,1.60,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2016,15,0,2016,13,03-28-2016,28.90,29.10,75.57,79.00,0.53,1.70,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2016,16,4,2016,14,04-04-2016,29.14,29.60,76.29,80.00,1.49,3.10,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,17,0,2016,15,04-11-2016,28.44,28.60,83.71,86.00,7.03,19.80,55,"Rain, not freezing, continuous",2,Rain,TRUE
2016,18,2,2016,16,04-18-2016,28.27,28.80,82.71,85.00,4.57,10.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2016,19,0,2016,17,04-25-2016,28.30,28.60,83.71,85.00,5.04,8.00,61,"Rain, not freezing, continuous",3,Rain,TRUE
2016,20,2,2016,18,05-02-2016,28.51,29.00,83.57,87.00,4.11,9.90,51,"Rain, not freezing, continuous",3,Rain,TRUE
2016,21,3,2016,19,05-09-2016,28.66,29.50,84.00,86.00,7.23,19.40,63,"Rain, not freezing, continuous",3,Rain,TRUE
2016,22,1,2016,20,05-16-2016,27.76,28.10,87.57,89.00,12.10,17.60,61,"Rain, not freezing, continuous",4,Rain,TRUE
2016,23,1,2016,21,05-23-2016,27.97,28.50,87.71,89.00,9.50,16.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
2016,24,2,2016,22,05-30-2016,27.87,28.60,86.14,88.00,8.04,12.00,61,"Rain, not freezing, continuous",4,Rain,TRUE
2016,25,1,2016,23,06-06-2016,28.04,28.50,85.00,87.00,6.43,14.10,63,"Rain, not freezing, continuous",4,Rain,TRUE
2016,26,0,2016,24,06-13-2016,27.66,28.10,86.14,89.00,14.33,44.60,63,"Rain, not freezing, continuous",5,Rain,TRUE
2016,27,2,2016,25,06-20-2016,26.71,27.20,88.00,90.00,26.41,46.10,63,"Rain, not freezing, continuous",4,Rain,TRUE
2016,28,2,2016,26,06-27-2016,27.16,27.70,88.29,90.00,14.77,25.50,63,"Rain, not freezing, continuous",4,Rain,TRUE
2016,29,7,2016,27,07-04-2016,27.89,28.30,85.86,88.00,2.01,6.10,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
2016,30,4,2016,28,07-11-2016,27.40,28.00,87.43,89.00,8.51,14.00,61,"Rain, not freezing, continuous",5,Rain,TRUE
2016,31,4,2016,29,07-18-2016,27.31,27.80,86.29,88.00,7.51,15.10,53,"Rain, not freezing, continuous",2,Rain,TRUE
2016,32,5,2016,30,07-25-2016,26.57,27.00,88.43,91.00,15.89,24.40,63,"Rain, not freezing, continuous",5,Rain,TRUE
2016,33,3,2016,31,08-01-2016,26.90,27.80,87.43,92.00,13.80,34.40,61,"Rain, not freezing, continuous",4,Rain,TRUE
2016,34,3,2016,32,08-08-2016,27.87,28.10,86.71,90.00,1.43,3.50,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
2016,35,6,2016,33,08-15-2016,27.80,28.30,87.86,91.00,3.00,6.70,53,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,36,3,2016,34,08-22-2016,27.51,27.90,88.14,90.00,8.94,17.10,63,"Rain, not freezing, continuous",3,Rain,TRUE
2016,37,4,2016,35,08-29-2016,27.64,28.10,86.43,89.00,6.06,19.40,55,"Rain, not freezing, continuous",2,Rain,TRUE
2016,38,0,2016,36,09-05-2016,26.94,27.50,88.00,91.00,11.83,25.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
2016,39,3,2016,37,09-12-2016,27.43,28.00,86.00,89.00,7.90,21.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
2016,40,4,2016,38,09-19-2016,27.11,27.60,87.86,89.00,14.89,27.90,63,"Rain, not freezing, continuous",4,Rain,TRUE
2016,41,3,2016,39,09-26-2016,27.43,27.70,87.00,89.00,4.37,6.30,55,"Rain, not freezing, continuous",4,Rain,TRUE
2016,42,3,2016,40,10-03-2016,27.50,28.30,86.71,89.00,7.04,12.80,61,"Rain, not freezing, continuous",3,Rain,TRUE
2016,43,3,2016,41,10-10-2016,27.39,27.90,87.00,90.00,9.07,22.70,51,"Rain, not freezing, continuous",2,Rain,TRUE
2016,44,1,2016,42,10-17-2016,27.51,27.90,88.29,90.00,8.30,15.00,53,"Rain, not freezing, continuous",2,Rain,TRUE
2016,45,5,2016,43,10-24-2016,26.83,27.40,88.71,91.00,21.01,35.10,61,"Rain, not freezing, continuous",4,Rain,TRUE
2016,46,3,2016,44,10-31-2016,26.77,27.20,90.00,93.00,31.44,109.00,61,"Rain, not freezing, continuous",3,Rain,TRUE
2016,47,0,2016,45,11-07-2016,27.69,27.80,82.57,85.00,2.40,9.90,51,"Rain, not freezing, continuous",5,Rain,TRUE
2016,48,2,2016,46,11-14-2016,27.43,27.70,86.86,89.00,9.19,17.90,61,"Rain, not freezing, continuous",3,Rain,TRUE
2016,49,2,2016,47,11-21-2016,27.79,28.40,85.29,88.00,4.20,11.20,51,"Rain, not freezing, continuous",3,Rain,TRUE
2016,50,1,2016,48,11-28-2016,27.49,28.30,87.29,92.00,14.06,61.20,63,"Rain, not freezing, continuous",3,Rain,TRUE
2016,51,3,2016,49,12-05-2016,27.20,27.50,87.71,89.00,8.03,13.30,55,"Rain, not freezing, continuous",3,Rain,TRUE
2016,52,1,2016,50,12-12-2016,27.09,27.50,87.57,89.00,15.04,24.20,63,"Rain, not freezing, continuous",5,Rain,TRUE
2017,1,2,2016,51,12-19-2016,27.74,28.00,85.14,87.00,3.21,8.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
2017,2,3,2016,52,12-26-2016,27.56,28.00,85.86,88.00,6.69,13.20,53,"Rain, not freezing, continuous",2,Rain,TRUE
2017,3,6,2017,1,01-02-2017,27.01,27.60,84.00,87.00,3.46,18.20,51,"Rain, not freezing, continuous",4,Rain,TRUE
2017,4,2,2017,2,01-09-2017,26.94,27.20,84.43,88.00,3.16,9.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
2017,5,1,2017,3,01-16-2017,26.43,27.00,86.29,89.00,10.23,18.20,63,"Rain, not freezing, continuous",4,Rain,TRUE
2017,6,2,2017,4,01-23-2017,26.71,27.00,79.00,88.00,2.43,6.70,3,"Rain, not freezing, continuous",2,Rain,TRUE
2017,7,3,2017,5,01-30-2017,26.76,27.00,84.43,90.00,2.09,7.90,51,"Rain, not freezing, continuous",2,Rain,TRUE
2017,8,1,2017,6,02-06-2017,26.94,27.10,77.86,84.00,0.90,1.90,53,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2017,9,1,2017,7,02-13-2017,26.61,27.10,74.86,88.00,1.19,3.40,3,"Rain, not freezing, continuous",3,Rain,TRUE
2017,10,1,2017,8,02-20-2017,27.06,27.80,81.57,85.00,4.63,23.60,3,"Rain, not freezing, continuous",3,Rain,TRUE
2017,11,2,2017,9,02-27-2017,27.14,27.50,80.00,84.00,1.61,3.40,51,"Rain, not freezing, continuous",3,Rain,TRUE
2017,12,1,2017,10,03-06-2017,26.13,26.70,85.43,89.00,16.37,45.00,63,"Rain, not freezing, continuous",4,Rain,TRUE
2017,13,1,2017,11,03-13-2017,26.57,26.80,84.71,88.00,4.04,8.70,63,"Rain, not freezing, continuous",3,Rain,TRUE
2017,14,1,2017,12,03-20-2017,27.00,27.50,83.29,86.00,2.56,13.80,51,"Rain, not freezing, continuous",4,Rain,TRUE
2017,15,3,2017,13,03-27-2017,26.80,27.40,85.43,89.00,8.69,18.80,63,"Rain, not freezing, continuous",4,Rain,TRUE
2017,16,2,2017,14,04-03-2017,26.97,27.20,85.14,88.00,2.64,7.70,53,"Rain, not freezing, continuous",3,Rain,TRUE
2017,17,5,2017,15,04-10-2017,27.20,27.50,84.00,88.00,3.09,16.30,51,"Rain, not freezing, continuous",3,Rain,TRUE
2017,18,2,2017,16,04-17-2017,27.24,27.60,86.57,88.00,4.76,8.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
2017,19,2,2017,17,04-24-2017,27.46,27.80,85.29,87.00,3.67,13.40,53,"Rain, not freezing, continuous",4,Rain,TRUE
2017,20,0,2017,18,05-01-2017,27.41,28.00,85.86,88.00,10.19,26.30,61,"Rain, not freezing, continuous",2,Rain,TRUE
2017,21,1,2017,19,05-08-2017,27.33,28.10,86.14,89.00,8.30,20.10,55,"Rain, not freezing, continuous",2,Rain,TRUE
2017,22,3,2017,20,05-15-2017,27.49,27.80,86.86,88.00,6.30,10.50,63,"Rain, not freezing, continuous",4,Rain,TRUE
2017,23,4,2017,21,05-22-2017,27.59,28.10,86.43,88.00,3.70,6.50,51,"Rain, not freezing, continuous",2,Rain,TRUE
2017,24,5,2017,22,05-29-2017,27.24,27.60,87.57,90.00,7.91,11.00,63,"Rain, not freezing, continuous",5,Rain,TRUE
2017,25,4,2017,23,06-05-2017,27.33,27.80,85.71,87.00,7.14,25.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
2017,26,11,2017,24,06-12-2017,26.96,27.40,86.14,89.00,5.83,13.30,61,"Rain, not freezing, continuous",2,Rain,TRUE
2017,27,14,2017,25,06-19-2017,26.61,27.10,86.71,88.00,9.00,16.40,63,"Rain, not freezing, continuous",4,Rain,TRUE
2017,28,1,2017,26,06-26-2017,26.74,27.10,86.71,88.00,5.17,16.40,53,"Rain, not freezing, continuous",2,Rain,TRUE
2017,29,3,2017,27,07-03-2017,26.61,27.20,86.43,90.00,5.74,23.10,3,"Rain, not freezing, continuous",2,Rain,TRUE
2017,30,5,2017,28,07-10-2017,26.47,26.90,87.71,89.00,4.61,7.90,61,"Rain, not freezing, continuous",3,Rain,TRUE
2017,31,4,2017,29,07-17-2017,26.47,27.00,86.86,89.00,9.84,26.80,61,"Rain, not freezing, continuous",3,Rain,TRUE
2017,32,4,2017,30,07-24-2017,27.30,27.80,86.29,89.00,1.96,8.10,51,"Rain, not freezing, continuous",4,Rain,TRUE
2017,33,4,2017,31,07-31-2017,27.14,27.90,87.29,89.00,6.81,16.50,63,"Rain, not freezing, continuous",3,Rain,TRUE
2017,34,1,2017,32,08-07-2017,26.57,26.80,88.00,89.00,5.99,10.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
2017,35,0,2017,33,08-14-2017,26.33,27.10,88.43,91.00,12.81,28.70,63,"Rain, not freezing, continuous",4,Rain,TRUE
