PsgcCode,DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
0931700001,2016,13,1,2016,11,03-14-2016,28.51,28.70,74.57,79.00,0.49,1.40,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,14,0,2016,12,03-21-2016,28.49,28.90,74.86,79.00,0.41,1.60,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2016,15,2,2016,13,03-28-2016,28.76,29.00,75.29,78.00,0.53,1.70,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2016,16,0,2016,14,04-04-2016,28.96,29.50,76.57,82.00,1.49,3.10,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,17,1,2016,15,04-11-2016,28.09,28.30,84.14,85.00,7.03,19.80,55,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2016,18,0,2016,16,04-18-2016,28.10,28.70,82.29,85.00,4.57,10.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,19,0,2016,17,04-25-2016,28.06,28.30,83.57,85.00,5.04,8.00,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,20,0,2016,18,05-02-2016,28.40,29.10,82.57,86.00,4.11,9.90,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,21,0,2016,19,05-09-2016,28.51,29.30,82.71,85.00,7.23,19.40,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,22,0,2016,20,05-16-2016,27.57,27.90,86.29,87.00,12.10,17.60,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,23,2,2016,21,05-23-2016,27.71,28.30,86.43,87.00,9.50,16.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
